member_name,model_name,dataset_name,composite_score,fidelity,utility,diversity,privacy,consistency,stability
Trinh,pategan,adult,0.7538,0.783,0.6852,0.7628,0.9866,0.4425,0.9948
Trinh,pategan,bank,0.8214,0.6658,0.7791,0.8915,0.96,0.4961,0.99
Trinh,pategan,car,0.6326,0.8983,0.5605,0.9299,0.3521,0.4974,0.9565
Trinh,pategan,card,0.5298,0.8832,0.0,0.7705,0.9937,0.3333,0.991
Trinh,pategan,covtype,0.7498,0.9778,0.5354,0.6498,0.9362,0.6198,0.996
Trinh,tabfairgdt,adult,0.8447,0.9199,0.9118,0.7645,0.7233,0.614,0.99
Trinh,tabfairgdt,bank,0.8283,0.9347,0.8962,0.7628,0.8563,0.2633,0.9988
Trinh,tabfairgdt,car,0.8481,0.9863,0.8865,0.9987,0.4438,0.7522,0.992
Trinh,tabfairgdt,card,0.5224,0.9382,0.0,0.5689,0.9857,0.3333,0.9955
Trinh,tabfairgdt,covtype,0.7555,0.963,0.5986,0.5584,0.9972,0.5353,0.998
Trinh,tabpfgen,adult,0.8189,0.9616,0.9849,0.9185,0.3344,0.4466,0.9445
Trinh,tabpfgen,bank,0.8152,0.9674,0.9752,0.9415,0.3344,0.3971,0.9605
Trinh,tabpfgen,car,0.8149,0.8567,0.9486,0.9769,0.3333,0.7211,0.9775
Trinh,tabpfgen,card,0.9025,0.8709,0.2,0.8678,0.3345,0.6359,0.9825
Trinh,tabpfgen,covtype,0.7774,0.9742,0.8819,0.6593,0.3402,0.5882,0.989
Trinh,tvaegan,adult,0.81,0.8659,0.8953,0.6201,0.7361,0.5909,0.9725
Trinh,tvaegan,bank,0.8747,0.9226,0.8966,0.8449,0.8948,0.6314,0.9725
Trinh,tvaegan,car,0.4041,0.7483,0.008,0.9208,0.4216,0.1469,0.94
Trinh,tvaegan,card,0.5435,0.953,0.0008,0.7353,0.9904,0.3347,0.993
Trinh,tvaegan,covtype,0.8509,0.9939,0.8003,0.6485,0.9703,0.645,0.998
ayat,ctabganplus,adult,0.8479,0.9439,0.9131,0.9265,0.7948,0.3188,0.971
ayat,ctabganplus,bank,0.8693,0.9667,0.9194,0.9942,0.8659,0.2767,0.9765
ayat,ctabganplus,car,0.6414,0.7903,0.5596,0.9538,0.4858,0.3136,0.967
ayat,ctabganplus,card,0.877,0.9685,0.8916,0.9327,0.9938,0.3105,0.988
ayat,ctabganplus,covtype,0.7556,0.9812,0.646,0.6543,0.9112,0.3224,0.9965
ayat,ganblr,adult,0.8618,0.8868,0.8982,0.9323,0.8798,0.5084,0.994
ayat,ganblr,bank,0.8909,0.8866,0.9247,0.9318,0.9428,0.6167,0.9875
ayat,ganblr,car,0.7763,0.9783,0.841,0.9991,0.3333,0.3806,0.9885
ayat,ganblr,card,0.8909,0.8866,0.9247,0.9318,0.9428,0.6167,0.9875
ayat,ganblr,covtype,0.7271,0.8334,0.6645,0.5365,0.9988,0.3333,0.9875
ayat,great,adult,0.5372,0.9368,0.0,0.8111,0.704,0.6724,0.9815
ayat,great,bank,0.8476,0.9521,0.8292,0.847,0.8163,0.6363,0.9715
ayat,great,car,0.7993,0.9637,0.8524,0.9983,0.4655,0.4149,0.977
ayat,great,card,0.8418,0.9816,0.8383,0.6987,0.9861,0.3619,0.98
ayat,great,covtype,0.8094,0.9849,0.7584,0.6439,0.7733,0.6762,0.9955
ayat,medgan,adult,0.5198,0.8844,0.0,0.8351,0.8009,0.1,0.9575
ayat,medgan,bank,0.8125,0.843,0.844,0.8244,0.8081,0.5408,0.9715
